,Bezirk,Ladepunkte,Bezirksname,Fläche,Einwohner,Dichte,Punkte_tsd_Einw,Punkte_Fläche,Punkte_Dichte
0,1,75,Altstadt-Lehel,3.15,20.86,6.631,3.5953978906999042,23.80952380952381,11.310511235107827
1,2,62,Ludwigsvorstadt-Isarvorstadt,4.4,49.876,11.331,1.2430828454567329,14.09090909090909,5.471714764804519
2,3,85,Maxvorstadt,4.3,51.945,12.085,1.636346135335451,19.767441860465116,7.03351261894911
3,4,66,Schwabing-West,4.36,68.254,15.643,0.9669762944296304,15.137614678899082,4.2191395512369745
4,5,68,Au-Haidhausen,4.22,63.583,15.067,1.069468254093075,16.113744075829384,4.5131744872901045
5,6,38,Sendling,3.94,40.79,10.356,0.9316008825692572,9.644670050761421,3.6693704132869835
6,7,62,Sendling-Westpark,7.81,62.065,7.942,0.9989527108676388,7.9385403329065305,7.806597834298665
7,8,26,Schwanthalerhöhe,2.07,28.732,13.878,0.9049143811777809,12.560386473429952,1.8734687995388384
8,9,142,Neuhausen-Nymphenburg,12.91,100.396,7.774,1.4143989800390453,10.999225406661502,18.266014921533316
9,10,70,Moosach,11.09,55.851,5.034,1.2533347657159228,6.311992786293959,13.90544298768375
10,11,710,Milbertshofen-Am Hart,13.42,76.971,5.737,9.224253290200204,52.906110283159464,123.75806170472372
11,12,206,Schwabing-Freimann,25.67,76.986,2.999,2.6758111864494842,8.024931827035449,68.68956318772923
12,13,90,Bogenhausen,23.71,94.337,3.978,0.9540265219373099,3.795866722901729,22.62443438914027
13,14,77,Berg am Laim,6.32,47.037,7.448,1.637009162999341,12.183544303797468,10.338345864661653
14,15,151,Trudering-Riem,22.45,75.728,3.373,1.9939784491865626,6.726057906458798,44.767269493032906
15,16,81,Ramersdorf-Perlach,19.9,120.085,6.035,0.6745222134321522,4.07035175879397,13.421706710853355
16,17,49,Obergiesing-Fasangarten,5.72,53.795,9.403,0.9108653220559532,8.566433566433567,5.211102839519302
17,18,50,Untergiesing-Harlaching,8.06,53.909,6.691,0.9274889165074478,6.203473945409429,7.472724555372889
18,19,93,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,17.76,101.992,5.742,0.9118362224488195,5.236486486486486,16.19644723092999
19,20,35,Hadern,9.22,51.446,5.578,0.6803250009718929,3.796095444685466,6.27465041233417
20,21,87,Pasing-Obermenzing,16.5,81.246,4.925,1.070821948157448,5.2727272727272725,17.664974619289342
21,22,36,Aubing-Lochhausen-Langwied,34.06,57.502,1.688,0.6260651803415533,1.0569583088667058,21.32701421800948
22,23,10,Allach-Untermenzing,15.45,35.918,2.325,0.2784119383039145,0.6472491909385114,4.301075268817204
23,24,31,Feldmoching-Hasenbergl,28.94,63.006,2.177,0.49201663333650764,1.0711817553559086,14.23977951309141
24,25,62,Laim,5.29,56.716,10.729,1.0931659496438395,11.720226843100189,5.778730543387082
