,Stadtbezirk,Personenkraftwagen,e-kfz
0,1 Altstadt - Lehel,68311,12413.0
1,2 Ludwigsvorstadt - Isarvorstadt,16861,3064.0
2,3 Maxvorstadt,25488,4632.0
3,4 Schwabing West,22743,4133.0
4,5 Au - Haidhausen,19839,3605.0
5,6 Sendling,29444,5350.0
6,7 Sendling - Westpark,26358,4790.0
7,8 Schwanthalerhöhe,11722,2130.0
8,9 Neuhausen - Nymphenburg,36650,6660.0
9,10 Moosach,26093,4742.0
10,11 Milbertshofen - Am Hart,51353,9332.0
11,12 Schwabing - Freimann,45356,8242.0
12,13 Bogenhausen,44632,8110.0
13,14 Berg am Laim,19309,3509.0
14,15 Trudering - Riem,37867,6881.0
15,16 Ramersdorf - Perlach,46334,8420.0
16,17 Obergiesing - Fasangarten,16870,3066.0
17,18 Untergiesing - Harlaching,20394,3706.0
18,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,46116,8380.0
19,20 Hadern,19846,3606.0
20,21 Pasing - Obermenzing,33688,6122.0
21,22 Aubing - Lochhausen - Langwied,22832,4149.0
22,23 Allach - Untermenzing,18251,3317.0
23,24 Feldmoching - Hasenbergl,25310,4599.0
24,25 Laim,22175,4030.0
