Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4
SWM Versorgungs GmbH,Karl-Hromadnik-Str.,2,,80241,München,Bayern,Kreisfreie Stadt München,"48,137018","11,456796",31.01.2020,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Peter-Kreuder-Str.,5,,80245,München,Bayern,Kreisfreie Stadt München,"48,159746","11,445709",07.12.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Peter-Kreuder-Str.,5a,,80245,München,Bayern,Kreisfreie Stadt München,"48,159701","11,445643",07.12.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
SWM Versorgungs GmbH,Wiesentfelser Str.,16,,80249,München,Bayern,Kreisfreie Stadt München,"48,147492","11,419531",11.12.2018,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtsparkasse München AdöR,Sparkassen Str.,2-4,,80331,München,Bayern,Kreisfreie Stadt München,"48,1368071","11,5778407",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d03010703420004149c7c3a0c5f4258f40d580dd3acf0535d8f02de39b9833c5c89a3031253e698666567373847678ba6149ea2371a5bd94124815c01bb3b4edfb39cff73b6a3d0,,,,,,,,,
Stadtsparkasse München AdöR,Sparkassen Str.,2-4,,80331,München,Bayern,Kreisfreie Stadt München,"48,1368071","11,5778407",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d03010703420004bc9db55bd28ef9f76ebeb6bc75e40001509225946ee8bdde51c099fc3149d851d79b784563dfdcdfb4caada895d8736680193751ca1aa875184432250e877080,,,,,,,,,
Stadtsparkasse München AdöR,Sparkassen Str.,2-4,,80331,München,Bayern,Kreisfreie Stadt München,"48,1368071","11,5778407",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d03010703420004824433f31ba7a69ad5eba43bdfbbb9afb0a695bf224c06d338b62c5db2a75c046a051fe662137f2f0ba89b2264c7412d05a62b2e6f38b6d78b73a5e130557397,,,,,,,,,
Stadtsparkasse München AdöR,Sparkassen Str.,2-4,,80331,München,Bayern,Kreisfreie Stadt München,"48,1368071","11,5778407",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d03010703420004b4599c745a3befd1ea8cbd1373129fe4398c70c9dfdff24e1814c7b5aad5a75728db98b0ff39d161f27598232e4b5ad12d60df865b06f7ed4c78f92f8e057207,,,,,,,,,
Stadtsparkasse München AdöR,Sparkassen Str.,2-4,,80331,München,Bayern,Kreisfreie Stadt München,"48,1368071","11,5778407",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d0301070342000462671439c74c53e4020eb22bb4d31b52f5a1a31ea1daa51368d78f34c9587de1b7f2e2ef40d8897b4a8ae8532def0a631d4d3175cf557a3551753e8abba10615,,,,,,,,,
Stadtsparkasse München AdöR,Sparkassen Str.,2-4,,80331,München,Bayern,Kreisfreie Stadt München,"48,1368071","11,5778407",13.01.2022,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d03010703420004bb5ba6475c8dc51cd6e74c480b3b028df3092c9459940cc6423de9a0e34d80b8dc2d2485fc7f7dab7d25c9629199f9626c45f2904dadab6776d0fea63c19d75e,,,,,,,,,
