FID,anzahl_els,anzahl_lp_ac,anzahl_lp_alle,anzahl_lp_dc,anzahl_stpl,aufstelldatum,bemerkung,stadtbezirk,standort,haupttyp,haupttyp_bedeutung,shape
opendata_ruhver_els_point.1,1,2,2,0,2,2017-05-29T00:00:00,,6,Urbanstr. 2,0,In Betrieb befindliche Ladesäulen,POINT (689684.126600797 5331783.312798096)
opendata_ruhver_els_point.2,1,2,2,0,2,2017-10-12T00:00:00,,6,Urbanstr. 6,0,In Betrieb befindliche Ladesäulen,POINT (689751.0750007983 5331777.291698092)
opendata_ruhver_els_point.3,2,4,4,0,4,2017-09-14T00:00:00,,18,Reginfriedstr. 2,0,In Betrieb befindliche Ladesäulen,POINT (691870.9652008448 5331775.829797959)
opendata_ruhver_els_point.4,2,4,4,0,4,2017-08-03T00:00:00,,5,Falkenstr. 32-34,0,In Betrieb befindliche Ladesäulen,POINT (691896.376300844 5333056.253497955)
opendata_ruhver_els_point.5,2,4,4,0,4,2018-01-15T00:00:00,,5,Mariahilfplatz 13,0,In Betrieb befindliche Ladesäulen,POINT (692295.4321008525 5333448.089197929)
opendata_ruhver_els_point.6,2,4,4,0,4,2017-03-31T00:00:00,,5,Rosenheimer Pl. 6,0,In Betrieb befindliche Ladesäulen,POINT (693017.5563008685 5333901.570797879)
opendata_ruhver_els_point.7,2,4,4,0,4,2017-09-14T00:00:00,,5,Pariser Straße ggü HsNr 17,0,In Betrieb befindliche Ladesäulen,POINT (693357.6706008761 5333714.0254978575)
opendata_ruhver_els_point.8,2,4,4,0,4,2017-05-18T00:00:00,wird in Q1/23 um 1 Ladesäule erweitert,5,Seeriederstr. 29,0,In Betrieb befindliche Ladesäulen,POINT (693595.6047008815 5334462.696697838)
opendata_ruhver_els_point.9,2,4,4,0,4,2017-03-30T00:00:00,,13,Prinzregentenplatz,0,In Betrieb befindliche Ladesäulen,POINT (693768.8922008851 5335070.127497825)
opendata_ruhver_els_point.10,2,4,4,0,4,2017-03-31T00:00:00,,13,Stuntzstraße 2,0,In Betrieb befindliche Ladesäulen,POINT (694583.6447009034 5335435.813797768)
opendata_ruhver_els_point.11,2,4,4,0,4,2017-08-03T00:00:00,,13,Robert-Heger-Str. 20,0,In Betrieb befindliche Ladesäulen,POINT (696518.0661009484 5337300.138897616)
opendata_ruhver_els_point.12,2,4,4,0,4,2017-08-03T00:00:00,,13,Fritz-Meyer-Weg 55,0,In Betrieb befindliche Ladesäulen,POINT (695943.4972009343 5338825.069897656)
opendata_ruhver_els_point.13,2,4,4,0,4,2018-07-11T00:00:00,,15,Graf-Lehndorff-Str. 18,0,In Betrieb befindliche Ladesäulen,POINT (699183.5446010138 5335562.666497406)
