Bezirk_IK,Stadtbezirk,Bevölkerung,Bevölkerung in % der Gesamtbevölkerung,Fläche in ha,Bevölkerungsdichte (Einw. je ha)
1,1 Altstadt - Lehel,20860,1.3,315,66
2,2 Ludwigsvorstadt - Isarvorstadt,49876,3.1,440,113
3,3 Maxvorstadt,51945,3.3,429,121
4,4 Schwabing West,68254,4.3,436,156
5,5 Au - Haidhausen,63583,4.0,422,151
6,6 Sendling,40790,2.6,394,104
7,7 Sendling - Westpark,62065,3.9,781,79
8,8 Schwanthalerhöhe,28732,1.8,207,139
9,9 Neuhausen - Nymphenburg,100396,6.3,1291,78
10,10 Moosach,55851,3.5,1109,50
11,11 Milbertshofen - Am Hart,76971,4.8,1342,57
12,12 Schwabing - Freimann,76986,4.8,2567,30
13,13 Bogenhausen,94337,5.9,2371,40
14,14 Berg am Laim,47037,3.0,631,74
15,15 Trudering - Riem,75728,4.8,2245,34
16,16 Ramersdorf - Perlach,120085,7.6,1990,60
17,17 Obergiesing - Fasangarten,53795,3.4,572,94
18,18 Untergiesing - Harlaching,53909,3.4,806,67
19,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,101992,6.4,1776,57
20,20 Hadern,51446,3.2,922,30
21,21 Pasing - Obermenzing,81246,5.1,1650,53
22,22 Aubing - Lochhausen - Langwied,57502,3.6,3406,110
23,23 Allach - Untermenzing,35918,2.3,1545,50
24,24 Feldmoching - Hasenbergl,63006,4.0,2894,93
25,25 Laim,56716,3.6,529,17
