Stadtbezirk,Krafträder,Personenkraftwagen,Kraftomnibusse,Lastkraftwagen,Zugmaschinen,Selbstfahrende Arbeitsmaschinen,Sonstige Kfz
1 Altstadt - Lehel,993,68311,61,10228,131,15,1139
2 Ludwigsvorstadt - Isarvorstadt,1973,16861,22,1114,139,30,270
3 Maxvorstadt,2012,25488,356,1469,175,32,267
4 Schwabing West,2674,22743,1,766,87,11,318
5 Au - Haidhausen,2578,19839,5,901,78,5,330
6 Sendling,1774,29444,3,756,75,11,297
7 Sendling - Westpark,2607,26358,2,1465,159,41,1622
8 Schwanthalerhöhe,1250,11722,0,1004,144,11,151
9 Neuhausen - Nymphenburg,4175,36650,2,1494,157,12,426
10 Moosach,2622,26093,434,2934,138,46,197
11 Milbertshofen - Am Hart,4557,51353,2,1805,102,72,707
12 Schwabing - Freimann,3164,45356,204,2526,235,100,444
13 Bogenhausen,4150,44632,16,2190,292,19,362
14 Berg am Laim,2082,19309,2,1220,238,34,202
15 Trudering - Riem,4006,37867,47,2230,287,60,363
16 Ramersdorf - Perlach,4551,46334,1,2257,217,21,545
17 Obergiesing - Fasangarten,2150,16870,1,723,68,8,214
18 Untergiesing - Harlaching,2363,20394,17,815,87,2,312
19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,4601,46116,61,2379,204,101,204
20 Hadern,2060,19846,4,790,86,21,86
21 Pasing - Obermenzing,3688,33688,17,1590,494,170,494
22 Aubing - Lochhausen - Langwied,2473,22832,9,1692,180,180,180
23 Allach - Untermenzing,2257,18251,104,1539,7,7,7
24 Feldmoching - Hasenbergl,3251,25310,31,1891,305,211,305
25 Laim,2659,22175,111,1151,302,12,279
