MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202401,,882044,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202402,,884681,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202403,,887644,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202404,,890920,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202405,,894842,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202406,,899150,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202407,,901866,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202408,,903129,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202409,,902038,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202410,,893715,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202411,,890191,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2024,202412,,888270,,,
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202301,882044,863783,"-0,12","2,11",876008
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202302,884681,862881,"0,3","2,53",877824
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202303,887644,866910,"0,33","2,39",879552
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202304,890920,869914,"0,37","2,41",881303
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202305,894842,875389,"0,44","2,22",882924
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202306,899150,878254,"0,48","2,38",884665
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202307,901866,881019,"0,3","2,37",886402
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202308,903129,878883,"0,14","2,76",888423
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202309,902038,879342,"-0,12","2,58",890314
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202310,893715,877656,"-0,92","1,83",891652
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202311,890191,876710,"-0,39","1,54",892776
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2023,202312,888270,883090,"-0,22","0,59",893208
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2022,202201,863783,847232,"-0,32","1,95",869528
Fahrzeugtypen,Kraftfahrzeuge insgesamt,2022,202202,862881,851068,"-0,1","1,39",870512
